"keys","ko","en"
"어떤 이름으로
불러 드릴까요?","어떤 이름으로
불러 드릴까요?","What should we
call you?"
"쉘터 사람들이 이 이름으로 부릅니다.
나중에 바꿀 수 없어요.","쉘터 사람들이 이 이름으로 부릅니다.
나중에 바꿀 수 없어요.","The shelter will call you this.
You cannot change it later."
"먼지","먼지","Dust"
"한글, 영문, 숫자 1~8자","한글, 영문, 숫자 1~8자","Letters and numbers, 1-8 characters"
"이 이름으로 시작하기","이 이름으로 시작하기","Start with this name"
"한글, 영문, 숫자만 쓸 수 있어요","한글, 영문, 숫자만 쓸 수 있어요","Letters and numbers only"
"%s. 좋은 이름이에요.","%s. 좋은 이름이에요.","%s. Good name."
"다리 끝의 문이 열립니다.","다리 끝의 문이 열립니다.","The door at the end of the bridge opens."
"작업대 · 장비 +99 강화 · 제작","작업대 · 장비 +99 강화 · 제작","Workbench · gear +99 enhancement · crafting"
"작업대 강화 보드를 열었습니다.","작업대 강화 보드를 열었습니다.","Opened the workbench enhancement board."
"제작과 강화 · 작업대 Lv.%d","제작과 강화 · 작업대 Lv.%d","Craft and Enhance · Workbench Lv.%d"
"작업대","작업대","Workbench"
"제작 %d","제작 %d","Craft %d"
"제작","제작","Craft"
"보유 장비 · 평생 귀속","보유 장비 · 평생 귀속","Owned Gear · Bound For Life"
"강화 +1","강화 +1","Enhance +1"
"가능한 만큼","가능한 만큼","As Far As It Goes"
"몸","몸","Body"
"머리","머리","Head"
"발","발","Feet"
"조각 %d/%d","조각 %d/%d","Shards %d/%d"
"%s 영구 강화","%s 영구 강화","%s permanent enhancement"
"보유한 장비가 없습니다 — 제작 탭에서 첫 장비를 만드세요.","보유한 장비가 없습니다 — 제작 탭에서 첫 장비를 만드세요.","No gear yet — build your first piece on the Craft tab."
"평생 귀속","평생 귀속","Bound for life"
"부품 튜닝","부품 튜닝","Part Tuning"
"먹인 만큼 이 무기가 영구히 좋아진다","먹인 만큼 이 무기가 영구히 좋아진다","Every part you feed it makes this weapon permanently better"
"+%.1f%% · 먹임 %d · 보유 %d","+%.1f%% · 먹임 %d · 보유 %d","+%.1f%% · fed %d · held %d"
"다음 보너스 · %s","다음 보너스 · %s","Next bonus · %s"
"돌파 보너스 전부 획득","돌파 보너스 전부 획득","All breakthrough bonuses taken"
"+%d 돌파: %s","+%d 돌파: %s","+%d breakthrough: %s"
"돌파 대기 · +%d 도달","돌파 대기 · +%d 도달","Breakthrough due · reached +%d"
"다음 +%d","다음 +%d","Next +%d"
"돌파 +%d","돌파 +%d","Breakthrough +%d"
"피해","피해","Damage"
"연사","연사","Fire rate"
"장탄","장탄","Mag"
"피해 감소","피해 감소","Damage reduction"
"이동","이동","Move"
"효과","효과","Effect"
"무게","무게","Weight"
"가시성","가시성","Visibility"
"냄새","냄새","Scent"
"슬롯","슬롯","Slot"
"돌파 · 고철","돌파 · 고철","Breakthrough · Scrap"
"최고 단계","최고 단계","Max tier"
"고철","고철","Scrap"
"설계도","설계도","Blueprint"
"미제작","미제작","Not built"
"잔해","잔해","Wreckage"
"조각은 %s에서 나옵니다.%s","조각은 %s에서 나옵니다.%s","Shards drop from %s.%s"
"쉘터 Tier %d 필요","쉘터 Tier %d 필요","Shelter Tier %d required"
"작업대 Lv.%d 필요 (제작 탭 하단 '보급품'에서 확장)","작업대 Lv.%d 필요 (제작 탭 하단 '보급품'에서 확장)","Workbench Lv.%d required (expand under Supplies at the bottom of the Craft tab)"
" 만들면 %s +%d의 %d%%를 이어받아 +%d로 시작합니다."," 만들면 %s +%d의 %d%%를 이어받아 +%d로 시작합니다."," Build it and it carries over %s +%d at %d%%, starting at +%d."
"제작 · 조각 %d개 더","제작 · 조각 %d개 더","Craft · %d more shards"
"돌파 · x%s","돌파 · x%s","Breakthrough · x%s"
"돌파 · 고철 %s 소모","돌파 · 고철 %s 소모","Breakthrough · costs %s scrap"
"강화 +1  [SPACE]
길게 누르면 연타","강화 +1  [SPACE]
길게 누르면 연타","Enhance +1  [SPACE]
Hold to repeat"
"최고 단계 +%d","최고 단계 +%d","Max tier +%d"
"%s +%d 달성! 다음은 돌파 — 고철 %s","%s +%d 달성! 다음은 돌파 — 고철 %s","%s hit +%d. Breakthrough next — %s scrap"
"돌파 관문에서 멈춤","돌파 관문에서 멈춤","stopped at the breakthrough gate"
"%s +%d 강화 → +%d (%s)","%s +%d 강화 → +%d (%s)","%s enhanced %d times → +%d (%s)"
"더 올릴 수 없습니다 · %s","더 올릴 수 없습니다 · %s","Cannot go higher · %s"
"강화 불가 · ","강화 불가 · ","Cannot enhance · "
"돌파 성공 · %s +%d의 벽을 넘었다 — 다음 강화가 열립니다","돌파 성공 · %s +%d의 벽을 넘었다 — 다음 강화가 열립니다","Breakthrough · %s cleared the +%d wall — enhancement opens again"
"중장비 · 쓰면 부서진다","중장비 · 쓰면 부서진다","Heavy · breaks when used"
"보급품","보급품","Supplies"
"선택된 설계도가 없습니다.","선택된 설계도가 없습니다.","No blueprint selected."
"필요 재료","필요 재료","Materials"
"쉘터 Tier %d에서 해금","쉘터 Tier %d에서 해금","Unlocks at Shelter Tier %d"
"%s  +%d 에서 +%d","%s  +%d 에서 +%d","%s  +%d to +%d"
"%s  +%d 에서 +%d · 효과 x%.2f","%s  +%d 에서 +%d · 효과 x%.2f","%s  +%d to +%d · effect x%.2f"
"돌파 단계 +%d · 완료한 돌파 +%d","돌파 단계 +%d · 완료한 돌파 +%d","Breakthrough tier +%d · cleared +%d"
"제작됨 · 영구 보유 — 잃지 않으며 다시 만들 수 없습니다","제작됨 · 영구 보유 — 잃지 않으며 다시 만들 수 없습니다","Built · yours forever — never lost, never rebuilt"
"부서진 것 %d개를 긁어모아 쓸만한 하나를 조립합니다 · %s에서 나옵니다","부서진 것 %d개를 긁어모아 쓸만한 하나를 조립합니다 · %s에서 나옵니다","Scrape together %d broken ones to assemble a working one · drops from %s"
"잠긴 이유: %s","잠긴 이유: %s","Locked because: %s"
"%s
쓰면 부서지는 소모품 — 부품으로 다시 만든다. 필드에서 T로 선택해 사용.","%s
쓰면 부서지는 소모품 — 부품으로 다시 만든다. 필드에서 T로 선택해 사용.","%s
Consumable — it breaks when used, and you rebuild it from parts. Select with T in the field."
"장착 중인 방어구를 +99까지 영구 강화합니다. 피해 감소(신발은 이동·스태미나)가 수렴 곡선으로 오릅니다. +10·+20·…에서는 돌파가 필요합니다.","장착 중인 방어구를 +99까지 영구 강화합니다. 피해 감소(신발은 이동·스태미나)가 수렴 곡선으로 오릅니다. +10·+20·…에서는 돌파가 필요합니다.","Permanently enhances your equipped armor up to +99. Damage reduction (move and stamina for footwear) rises on a converging curve. A breakthrough is required at +10, +20 and so on."
"장착 파츠의 고유 보정치를 +99까지 영구 강화합니다.","장착 파츠의 고유 보정치를 +99까지 영구 강화합니다.","Permanently enhances the equipped part's own bonus up to +99."
"%s 돌파 (+%d)","%s 돌파 (+%d)","%s breakthrough (+%d)"
"고철을 크게 태워(그 단계 강화비 ×3) +10·+20·…·+90의 벽을 넘습니다. 돌파 전엔 그 단계에서 강화가 멈춥니다.","고철을 크게 태워(그 단계 강화비 ×3) +10·+20·…·+90의 벽을 넘습니다. 돌파 전엔 그 단계에서 강화가 멈춥니다.","Burn a pile of scrap (3x that tier's enhancement cost) to clear the +10, +20 ... +90 walls. Until you do, enhancement stops at that tier."
"제작 불가","제작 불가","Cannot craft"
"제작 불가 · %s","제작 불가 · %s","Cannot craft · %s"
"정비 시작 — 다음 출정 복귀까지 수리됩니다","정비 시작 — 다음 출정 복귀까지 수리됩니다","Servicing started — repairs run until you return from the next sortie"
"작업대 확장 완료 · Lv.%d","작업대 확장 완료 · Lv.%d","Workbench expanded · Lv.%d"
"돌파 완료 · +%d의 벽을 넘었다 — 다음 강화가 열립니다","돌파 완료 · +%d의 벽을 넘었다 — 다음 강화가 열립니다","Breakthrough done · cleared the +%d wall — enhancement opens again"
"돌파 불가 · %s","돌파 불가 · %s","Cannot break through · %s"
"강화 완료 · %s +%d","강화 완료 · %s +%d","Enhanced · %s +%d"
"파츠 강화 완료 · +%d","파츠 강화 완료 · +%d","Part enhanced · +%d"
"제작 완료 · %s","제작 완료 · %s","Built · %s"
"제작 완료 · %s · %s","제작 완료 · %s · %s","Built · %s · %s"
"%s %s 부족","%s %s 부족","Need %s more %s"
"작업대가 이미 최고 레벨(Lv.5)입니다.","작업대가 이미 최고 레벨(Lv.5)입니다.","The workbench is already at max level (Lv.5)."
"작업대 확장 불가 · %s","작업대 확장 불가 · %s","Cannot expand the workbench · %s"
"작업대를 지금 확장할 수 없습니다.","작업대를 지금 확장할 수 없습니다.","The workbench cannot be expanded right now."
"강화 불가 · 보유하지 않은 무기입니다.","강화 불가 · 보유하지 않은 무기입니다.","Cannot enhance · you do not own this weapon."
"강화 불가 · 이미 최고 강화 단계입니다.","강화 불가 · 이미 최고 강화 단계입니다.","Cannot enhance · already at the max tier."
"강화 불가 · +%d 돌파 필요([돌파] 버튼 · 고철 ×3)","강화 불가 · +%d 돌파 필요([돌파] 버튼 · 고철 ×3)","Cannot enhance · +%d breakthrough required ([Breakthrough] button · scrap x3)"
"강화 불가 · %s","강화 불가 · %s","Cannot enhance · %s"
"강화 불가 · %s (필드에서 구해 오는 부품)","강화 불가 · %s (필드에서 구해 오는 부품)","Cannot enhance · %s (a part you bring back from the field)"
"강화에 실패했습니다.","강화에 실패했습니다.","Enhancement failed."
"강화 불가 · 보유하지 않은 방어구입니다.","강화 불가 · 보유하지 않은 방어구입니다.","Cannot enhance · you do not own this armor."
"파츠 강화 불가 · 해당 부착물을 장착하지 않았습니다.","파츠 강화 불가 · 해당 부착물을 장착하지 않았습니다.","Cannot enhance part · that attachment is not equipped."
"파츠 강화 불가 · 이미 최고 강화 단계입니다.","파츠 강화 불가 · 이미 최고 강화 단계입니다.","Cannot enhance part · already at the max tier."
"파츠 강화 불가 · %s","파츠 강화 불가 · %s","Cannot enhance part · %s"
"파츠 강화에 실패했습니다.","파츠 강화에 실패했습니다.","Part enhancement failed."
"%s · %s에서 나옵니다","%s · %s에서 나옵니다","%s · drops from %s"
"%s 엘리트·보스·봉인 상자","%s 엘리트·보스·봉인 상자","%s elites, bosses and sealed crates"
"엘리트·보스·봉인 상자","엘리트·보스·봉인 상자","elites, bosses and sealed crates"
" · %s 메인 미션 %d단계"," · %s 메인 미션 %d단계"," · %s main mission stage %d"
"제작됨 · 영구 보유","제작됨 · 영구 보유","Built · yours forever"
"작업대 Lv.%d 필요","작업대 Lv.%d 필요","Workbench Lv.%d required"
"수리 진행 중","수리 진행 중","Repairing"
"수리 가능","수리 가능","Can repair"
"수리 불필요","수리 불필요","No repair needed"
"보유한 무기 없음","보유한 무기 없음","No weapon owned"
"최고 강화 단계","최고 강화 단계","Max enhancement"
"돌파 필요 · 강화 보드 [돌파]","돌파 필요 · 강화 보드 [돌파]","Breakthrough required · [Breakthrough] on the enhance board"
"돌파 단계 아님 · 현재 +%d (다음 돌파 +%d)","돌파 단계 아님 · 현재 +%d (다음 돌파 +%d)","Not a breakthrough tier · now +%d (next breakthrough +%d)"
"돌파 가능","돌파 가능","Can break through"
"해당 부착물 미장착","해당 부착물 미장착","That attachment is not equipped"
"재료 부족","재료 부족","Not enough materials"
"재료 부족 · %s","재료 부족 · %s","Not enough materials · %s"
"최고 레벨","최고 레벨","Max level"
"확장 가능","확장 가능","Can expand"
"제작 가능","제작 가능","Can craft"
"통조림 x%d","통조림 x%d","Canned Food x%d"
"내구도 +%d%%","내구도 +%d%%","Durability +%d%%"
"수리 진행 중 · 시간당 %.0f%%","수리 진행 중 · 시간당 %.0f%%","Repairing · %.0f%% per hour"
"시간당 내구도 %.0f%% 회복","시간당 내구도 %.0f%% 회복","Restores %.0f%% durability per hour"
"작업대 Lv.%d","작업대 Lv.%d","Workbench Lv.%d"
"+%d 돌파 → 다음 강화 해금","+%d 돌파 → 다음 강화 해금","+%d breakthrough → unlocks the next enhancement"
"자동 수리 맡기기","자동 수리 맡기기","Leave for auto-repair"
"시설 업그레이드","시설 업그레이드","Upgrade facility"
"가방 %s + 창고 %s","가방 %s + 창고 %s","Bag %s + Storage %s"
"피해감소 %d%%","피해감소 %d%%","Damage reduction %d%%"
"이동 +%d%%","이동 +%d%%","Move +%d%%"
"스태미나 소모 -%d%%","스태미나 소모 -%d%%","Stamina cost -%d%%"
"피탐지 +%d%%","피탐지 +%d%%","Visibility +%d%%"
"첫 제작 시 하위 무기 강화 60% 이관","첫 제작 시 하위 무기 강화 60% 이관","First build carries over 60% of the lower weapon's enhancement"
"첫 제작 시 %s +%d → %s +%d (강화 60%% 이관)","첫 제작 시 %s +%d → %s +%d (강화 60%% 이관)","First build: %s +%d → %s +%d (60%% of enhancement carried over)"
"피해 %d · 탄창 %d · 연사 %.1f/s","피해 %d · 탄창 %d · 연사 %.1f/s","Damage %d · Mag %d · Fire rate %.1f/s"
"현재 보유 x%d","현재 보유 x%d","Held x%d"
" · 3발 쏘면 소멸"," · 3발 쏘면 소멸"," · gone after 3 shots"
"캣닢","캣닢","Catnip"
"고무 패킹","고무 패킹","Rubber Gasket"
"정밀 기어","정밀 기어","Precision Gear"
"군용 합금","군용 합금","Military Alloy"
"장인의 인장","장인의 인장","Artisan's Seal"
"7.62mm 보통탄","7.62mm 보통탄","7.62mm Ball"
"9mm 보통탄","9mm 보통탄","9mm Ball"
"M1911 솜방망이","M1911 솜방망이","M1911 Cottonpaw"
"MP5 하악이","MP5 하악이","MP5 Hisser"
"AK-47 캣라시니코프","AK-47 캣라시니코프","AK-47 Catlashnikov"
"더블배럴 참치 헌터","더블배럴 참치 헌터","Double Barrel Tuna Hunter"
"AKM 개조형","AKM 개조형","AKM Conversion"
"펌프 산탄총 하울러","펌프 산탄총 하울러","Pump Shotgun Howler"
"K2 전투소총","K2 전투소총","K2 Battle Rifle"
"창고 · 전리품 보관/판매","창고 · 전리품 보관/판매","Storage · stow and sell loot"
"창고를 열었습니다.","창고를 열었습니다.","Opened the storage."
"쉘터 창고","쉘터 창고","Shelter Storage"
"Lv.%d · 가방과 창고 사이에서 장비를 옮깁니다.","Lv.%d · 가방과 창고 사이에서 장비를 옮깁니다.","Lv.%d · move gear between your bag and storage."
"창고","창고","Storage"
"귀중품 전부 팔기 · 고철 +%s","귀중품 전부 팔기 · 고철 +%s","Sell all valuables · Scrap +%s"
"사용 슬롯","사용 슬롯","Slots used"
"%d개","%d개","%d"
"보관 가능한 소지품이 없습니다.","보관 가능한 소지품이 없습니다.","Nothing in the bag can be stowed."
"%d / %d 슬롯","%d / %d 슬롯","%d / %d slots"
"%s
보유 %d · 보관","%s
보유 %d · 보관","%s
Held %d · Stow"
"%s x%d
꺼내기","%s x%d
꺼내기","%s x%d
Take out"
"확장","확장","Expand"
"최대 등급","최대 등급","Max tier"
"확장 비용","확장 비용","Expansion cost"
"Lv.%d 확장","Lv.%d 확장","Expand to Lv.%d"
"%s %d개를 보관했습니다.","%s %d개를 보관했습니다.","%s x%d stowed."
"보관하지 못했습니다.","보관하지 못했습니다.","Could not stow it."
"%s %d개를 꺼냈습니다.","%s %d개를 꺼냈습니다.","%s x%d taken out."
"꺼내지 못했습니다.","꺼내지 못했습니다.","Could not take it out."
"창고가 Lv.%d로 확장되었습니다.","창고가 Lv.%d로 확장되었습니다.","Storage expanded to Lv.%d."
"창고 확장 재료가 부족합니다.","창고 확장 재료가 부족합니다.","Not enough materials to expand the storage."
"한 번 더 누르면 귀중품 전부를 고철 %s에 판다","한 번 더 누르면 귀중품 전부를 고철 %s에 판다","Press again to sell every valuable for %s scrap"
"귀중품 %d점 판매 · 고철 +%s","귀중품 %d점 판매 · 고철 +%s","Sold %d valuables · Scrap +%s"
"훈련장 · 통조림으로 능력치 강화","훈련장 · 통조림으로 능력치 강화","Training · spend canned food on stats"
"통조림을 소비해 플레이어 능력을 영구 강화합니다.","통조림을 소비해 플레이어 능력을 영구 강화합니다.","Spends canned food to permanently raise your stats."
"영구 강화","영구 강화","Permanent Training"
"출정에서 모아 온 통조림을 소비해 능력을 영구히 올립니다.","출정에서 모아 온 통조림을 소비해 능력을 영구히 올립니다.","Spend the canned food you brought back to raise your stats for good."
"훈련장","훈련장","Training"
"최대 체력","최대 체력","Max health"
"스태미나","스태미나","Stamina"
"이동 배율","이동 배율","Move mult."
"반동 제어","반동 제어","Recoil ctrl."
"카드를 눌러 즉시 훈련","카드를 눌러 즉시 훈련","Tap a card to train right away"
"훈련 과목","훈련 과목","Courses"
"선행 필요 · %s","선행 필요 · %s","Requires · %s"
"%s · 훈련 비용 통조림 %s개 (보유 %s)","%s · 훈련 비용 통조림 %s개 (보유 %s)","%s · costs %s canned food (held %s)"
" · 현재 장탄 %d → %d"," · 현재 장탄 %d → %d"," · mag now %d → %d"
" · 현재 장전 %.2fs → %.2fs"," · 현재 장전 %.2fs → %.2fs"," · reload now %.2fs → %.2fs"
" · 현재 줍는 탄약 x%.2f"," · 현재 줍는 탄약 x%.2f"," · ammo pickup now x%.2f"
" · 현재 %d탄창(%d발)"," · 현재 %d탄창(%d발)"," · now %d mags (%d rounds)"
"%s %d단계","%s %d단계","%s rank %d"
"기초 훈련","기초 훈련","Basic training"
"%s %d단계 훈련 완료 · 통조림 -%s","%s %d단계 훈련 완료 · 통조림 -%s","%s trained to rank %d · Canned Food -%s"
"통조림이 %s개 부족합니다. (필요 %s개)","통조림이 %s개 부족합니다. (필요 %s개)","Need %s more canned food. (%s required)"
"선행 훈련이 필요합니다 · %s","선행 훈련이 필요합니다 · %s","A prior course is required · %s"
"%s 훈련은 이미 최대 단계입니다.","%s 훈련은 이미 최대 단계입니다.","%s is already at the max rank."
"훈련 정보를 찾을 수 없습니다.","훈련 정보를 찾을 수 없습니다.","Training data not found."
"꾹꾹이 생산기 · 주민 배치로 고철 생산","꾹꾹이 생산기 · 주민 배치로 고철 생산","Kneading rig · seat residents to make scrap"
"주민의 특성에 따라 고철을 자동 생산합니다.","주민의 특성에 따라 고철을 자동 생산합니다.","Produces scrap automatically, scaled by resident traits."
"꾹꾹이 고철 생산기","꾹꾹이 고철 생산기","Kneading Scrap Rig"
"주민을 배치하면 고철이 자동 생산됩니다.","주민을 배치하면 고철이 자동 생산됩니다.","Seat residents and scrap comes in on its own."
"시간당","시간당","Per hour"
"작업자","작업자","Workers"
"%d / %d명","%d / %d명","%d / %d"
"오버클럭","오버클럭","Overclock"
"작업 좌석","작업 좌석","Work Seats"
"그 외 %d석","그 외 %d석","%d more seats"
"앉은 고양이 %s","앉은 고양이 %s","%s seated"
"눌러서 좌석에 앉히기","눌러서 좌석에 앉히기","Tap to seat them"
"눌러서 앉히기 · 우클릭 특성 재굴림","눌러서 앉히기 · 우클릭 특성 재굴림","Tap to seat · right-click to reroll traits"
"대기 주민","대기 주민","Idle Residents"
"구출한 주민이 없습니다.","구출한 주민이 없습니다.","No residents rescued yet."
"도시에서 구출해 오거나, 시간이 지나면 소문을 듣고 찾아옵니다.","도시에서 구출해 오거나, 시간이 지나면 소문을 듣고 찾아옵니다.","Rescue them in the city, or wait — word spreads and they come."
"그 외 %s명","그 외 %s명","%s more"
"전원 배치로 한 번에","전원 배치로 한 번에","Seat all at once"
"좌석 +1 확장
고철 %s · 생산 ×1.9","좌석 +1 확장
고철 %s · 생산 ×1.9","Seat +1
Scrap %s · output x1.9"
"확장 Lv.%d → Lv.%d","확장 Lv.%d → Lv.%d","Expand Lv.%d → Lv.%d"
"오버클럭 Lv.%d
고철 %s · 시간당 +8%%","오버클럭 Lv.%d
고철 %s · 시간당 +8%%","Overclock Lv.%d
Scrap %s · +8%% per hour"
"오버클럭 Lv.%d → Lv.%d","오버클럭 Lv.%d → Lv.%d","Overclock Lv.%d → Lv.%d"
"생산기","생산기","Rig"
"빈 좌석","빈 좌석","Empty seat"
"이름 없는 주민","이름 없는 주민","Unnamed resident"
"%s
꾹꾹이 x%.2f","%s
꾹꾹이 x%.2f","%s
Kneading x%.2f"
"%s
캣닢 작업 중","%s
캣닢 작업 중","%s
Working catnip"
"%s · %s
꾹꾹이 x%.2f · 캣닢 x%.2f%s
%s
우클릭: 특성 재굴림 · 츄르 %s","%s · %s
꾹꾹이 x%.2f · 캣닢 x%.2f%s
%s
우클릭: 특성 재굴림 · 츄르 %s","%s · %s
Kneading x%.2f · Catnip x%.2f%s
%s
Right-click: reroll traits · Churu %s"
"좌클릭: 좌석에서 일으키기","좌클릭: 좌석에서 일으키기","Left-click: get them up"
"좌클릭: 좌석에 앉히기","좌클릭: 좌석에 앉히기","Left-click: sit them down"
"전원 배치","전원 배치","Seat all"
"전원 해제","전원 해제","Clear all"
"좌석에 앉힐 대기 주민이 없습니다.","좌석에 앉힐 대기 주민이 없습니다.","No idle residents to seat."
"주민 %s명을 좌석에 앉혔습니다.","주민 %s명을 좌석에 앉혔습니다.","Seated %s residents."
"좌석에 앉아 있는 주민이 없습니다.","좌석에 앉아 있는 주민이 없습니다.","No residents are seated."
"주민 %s명을 좌석에서 일으켰습니다.","주민 %s명을 좌석에서 일으켰습니다.","Got %s residents up."
"특성 재굴림 완료 · %s","특성 재굴림 완료 · %s","Traits rerolled · %s"
"새 특성","새 특성","new trait"
"츄르가 %d개 부족합니다.","츄르가 %d개 부족합니다.","Need %d more churu."
"바꿀 수 있는 다른 특성이 없습니다.","바꿀 수 있는 다른 특성이 없습니다.","No other trait to roll into."
"이 주민은 재굴림할 수 없습니다.","이 주민은 재굴림할 수 없습니다.","This resident cannot be rerolled."
"이미 최고 레벨입니다.","이미 최고 레벨입니다.","Already at max level."
"고철이 %s 부족합니다.","고철이 %s 부족합니다.","Need %s more scrap."
"확장 조건을 만족하지 못했습니다.","확장 조건을 만족하지 못했습니다.","Expansion requirements are not met."
"Lv.%d 확장 완료 · 작업 좌석 +1","Lv.%d 확장 완료 · 작업 좌석 +1","Expanded to Lv.%d · Seats +1"
"오버클럭 조건을 만족하지 못했습니다.","오버클럭 조건을 만족하지 못했습니다.","Overclock requirements are not met."
"오버클럭 Lv.%d · 시간당 +8%%","오버클럭 Lv.%d · 시간당 +8%%","Overclock Lv.%d · +8%% per hour"
"스크래핑 생산기 · 주민 배치로 캣닢 생산","스크래핑 생산기 · 주민 배치로 캣닢 생산","Scratching rig · seat residents to make catnip"
"주민을 배치해 캣닢을 자동 생산합니다.","주민을 배치해 캣닢을 자동 생산합니다.","Seat residents and catnip comes in on its own."
"스크래핑 캣닢 생산기","스크래핑 캣닢 생산기","Scratching Catnip Rig"
"캣닢 특화 주민이 피버 자원을 생산합니다.","캣닢 특화 주민이 피버 자원을 생산합니다.","Catnip-minded residents produce the fever resource."
"초당 생산","초당 생산","Per second"
"캣닢 생산에 배치할 주민이 없습니다. 도시에서 구출해 오거나, 시간이 지나면 소문을 듣고 찾아옵니다.","캣닢 생산에 배치할 주민이 없습니다. 도시에서 구출해 오거나, 시간이 지나면 소문을 듣고 찾아옵니다.","No residents to put on catnip. Rescue them in the city, or wait — word spreads and they come."
"좌석 +1 확장
고철 %s · Lv.%d","좌석 +1 확장
고철 %s · Lv.%d","Seat +1
Scrap %s · Lv.%d"
"좌석 확장 · 고철 %s (보유 %s)","좌석 확장 · 고철 %s (보유 %s)","Seat expansion · Scrap %s (held %s)"
"농축 Lv.%d
캣닢 %s · 생산 +8%%","농축 Lv.%d
캣닢 %s · 생산 +8%%","Infusion Lv.%d
Catnip %s · output +8%%"
"농축 · 캣닢 %s (보유 %s)","농축 · 캣닢 %s (보유 %s)","Infusion · Catnip %s (held %s)"
"캣닢은 운영 독의 캣닢 피버에 씁니다 — 쉘터 전체 생산 가속","캣닢은 운영 독의 캣닢 피버에 씁니다 — 쉘터 전체 생산 가속","Catnip goes into Catnip Fever on the ops dock — it speeds up every rig"
"%s
캣닢 x%.2f","%s
캣닢 x%.2f","%s
Catnip x%.2f"
"%s
꾹꾹이 작업 중","%s
꾹꾹이 작업 중","%s
Working the kneader"
"%s · %s
꾹꾹이 x%.2f · 캣닢 x%.2f%s
%s","%s · %s
꾹꾹이 x%.2f · 캣닢 x%.2f%s
%s","%s · %s
Kneading x%.2f · Catnip x%.2f%s
%s"
"캣닢이 %s 부족합니다.","캣닢이 %s 부족합니다.","Need %s more catnip."
"농축 조건을 만족하지 못했습니다.","농축 조건을 만족하지 못했습니다.","Infusion requirements are not met."
"농축 Lv.%d · 캣닢 생산 +8%%","농축 Lv.%d · 캣닢 생산 +8%%","Infusion Lv.%d · Catnip output +8%%"
"누더기 방탄 조끼","누더기 방탄 조끼","Ragged Vest"
"철판을 덧대 꿰맨 생존자 계열 경량 조끼. 첫 방어구로 충분합니다.","철판을 덧대 꿰맨 생존자 계열 경량 조끼. 첫 방어구로 충분합니다.","A light scav vest stitched over sheet metal. Enough for your first armor."
"기워 붙인 운동화","기워 붙인 운동화","Patched Sneakers"
"밑창을 갈아 끼운 생존자 계열 신발. 발소리와 냄새를 줄입니다.","밑창을 갈아 끼운 생존자 계열 신발. 발소리와 냄새를 줄입니다.","Scav footwear with a replaced sole. Quieter steps, weaker scent."
"기워 붙인 헬멧","기워 붙인 헬멧","Patched Helmet"
"금 간 안전모를 철판으로 보강한 머리 보호구. 생존자 세트의 마지막 조각.","금 간 안전모를 철판으로 보강한 머리 보호구. 생존자 세트의 마지막 조각.","A cracked hard hat reinforced with sheet metal. The last piece of the scav set."
"진압대 방탄 조끼","진압대 방탄 조끼","Riot Vest"
"진압 계열 중량 조끼. 튼튼한 대신 실루엣이 커집니다. 첫 제작 시 누더기 조끼 강화의 60%를 이어받습니다.","진압 계열 중량 조끼. 튼튼한 대신 실루엣이 커집니다. 첫 제작 시 누더기 조끼 강화의 60%를 이어받습니다.","A heavy riot vest. Tough, but it makes you a bigger shape. The first build carries over 60% of your Ragged Vest enhancement."
"경량 전술화","경량 전술화","Light Tactical Boots"
"발목을 잡아주면서도 유연한 밑창의 진압 계열 전술화. 첫 제작 시 운동화 강화의 60%를 이어받습니다.","발목을 잡아주면서도 유연한 밑창의 진압 계열 전술화. 첫 제작 시 운동화 강화의 60%를 이어받습니다.","Riot-issue boots with ankle support and a flexible sole. The first build carries over 60% of your Sneakers enhancement."
"전술 방탄 헬멧","전술 방탄 헬멧","Tactical Helmet"
"진압 계열 헬멧. 내피를 새로 짜 넣어야 해 작업대 숙련과 정밀 기어가 필요합니다.","진압 계열 헬멧. 내피를 새로 짜 넣어야 해 작업대 숙련과 정밀 기어가 필요합니다.","A riot helmet. The liner has to be rewoven, so it needs workbench skill and precision gear."
"군납 방탄복","군납 방탄복","Issued Body Armor"
"봉쇄선 규격을 흉내 낸 최상급 방탄복. 군용 합금이 들어가야 판이 버팁니다.","봉쇄선 규격을 흉내 낸 최상급 방탄복. 군용 합금이 들어가야 판이 버팁니다.","Top-grade armor copying cordon spec. It only holds up with military alloy in the plates."
"군납 전투 헬멧","군납 전투 헬멧","Issued Combat Helmet"
"레일과 내피가 온전한 전투 헬멧. 군납 세트의 머리.","레일과 내피가 온전한 전투 헬멧. 군납 세트의 머리.","A combat helmet with rails and liner intact. The head of the issued set."
"강습 부츠","강습 부츠","Assault Boots"
"봉쇄선 강습조가 신던 부츠. 기동성이 탁월하지만 무거워 냄새 흔적이 짙습니다.","봉쇄선 강습조가 신던 부츠. 기동성이 탁월하지만 무거워 냄새 흔적이 짙습니다.","Boots off a cordon assault team. Superb mobility, but heavy — they leave a strong scent."
"스코프 렌즈를 조립한 완성 조준경입니다.","스코프 렌즈를 조립한 완성 조준경입니다.","A finished optic built from a scope lens."
"고무 패킹으로 고정한 임시 소음기입니다.","고무 패킹으로 고정한 임시 소음기입니다.","A field suppressor held together with a rubber gasket."
"반동 회복을 돕는 완성 개머리판 패드입니다.","반동 회복을 돕는 완성 개머리판 패드입니다.","A finished stock pad that helps recoil recovery."
